,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,レールウェイ(フロント),スチーマーライン(ポート),スチーマーライン(ハーバー),スチーマーライン(ロスト),スチーマーライン(フロント),ビッグシティ・ヴィークル,曜日_数値,曜日
0,2022-04-01 09:00:00,30,30,60,50,15,5,0,0,10,5,5,5,0,0,0,5,5,5,5,5,0,0,0,0,0,0,4,Friday
1,2022-04-01 09:15:00,30,30,65,55,20,5,0,0,10,5,25,10,0,0,0,5,5,5,5,5,0,0,0,0,0,0,4,Friday
2,2022-04-01 09:30:00,30,30,55,50,30,20,0,0,25,5,25,20,0,5,0,5,5,10,5,5,0,0,0,0,0,0,4,Friday
3,2022-04-01 09:45:00,25,30,45,0,45,40,0,0,30,5,35,25,0,5,0,15,5,10,5,5,0,0,0,0,0,0,4,Friday
4,2022-04-01 10:00:00,25,30,55,0,60,50,35,15,40,10,30,35,5,5,0,20,10,15,10,10,0,0,0,0,0,0,4,Friday
5,2022-04-01 10:15:00,25,30,50,0,50,60,30,20,40,20,35,35,5,15,0,40,25,25,20,25,0,0,0,0,0,0,4,Friday
6,2022-04-01 10:30:00,30,30,40,0,50,60,30,35,30,20,40,30,5,20,0,30,25,40,30,25,0,0,0,0,0,0,4,Friday
7,2022-04-01 10:45:00,30,35,35,0,30,60,40,45,30,15,35,25,10,20,0,35,25,35,30,30,0,0,0,0,0,0,4,Friday
8,2022-04-01 11:00:00,30,40,35,0,30,35,45,50,0,30,40,30,10,25,0,45,25,35,25,20,0,0,0,0,0,0,4,Friday
9,2022-04-01 11:15:00,30,40,35,0,30,35,55,60,0,35,50,50,10,25,0,45,30,40,35,30,0,0,0,0,0,0,4,Friday
10,2022-04-01 11:30:00,30,40,35,0,30,35,60,60,0,0,60,45,20,25,0,50,25,50,40,25,5,10,0,0,0,0,4,Friday
11,2022-04-01 11:45:00,30,40,35,15,30,35,45,35,0,0,40,45,20,30,0,45,40,50,35,30,5,10,0,0,0,0,4,Friday
12,2022-04-01 12:00:00,30,40,35,20,30,35,30,35,0,0,40,25,20,30,0,45,35,45,35,30,5,10,0,0,0,0,4,Friday
13,2022-04-01 12:15:00,30,40,30,20,30,35,40,30,0,0,35,25,20,30,0,30,30,45,30,30,5,10,5,5,5,0,4,Friday
14,2022-04-01 12:30:00,35,40,30,25,30,35,30,35,0,5,35,25,10,35,0,40,30,45,30,30,5,5,5,5,5,0,4,Friday
15,2022-04-01 12:45:00,35,40,30,35,35,35,30,30,10,5,35,25,5,30,0,40,30,40,30,25,5,15,5,5,5,0,4,Friday
16,2022-04-01 13:00:00,30,40,30,35,35,35,20,30,35,10,35,25,5,30,0,40,30,40,30,15,20,15,5,5,5,0,4,Friday
17,2022-04-01 13:15:00,30,40,30,35,35,35,20,30,40,15,35,25,5,25,0,40,30,30,30,15,25,15,5,5,5,0,4,Friday
18,2022-04-01 13:30:00,30,40,30,35,30,35,35,30,35,10,30,25,5,20,0,40,30,30,30,15,0,0,5,5,5,0,4,Friday
19,2022-04-01 13:45:00,30,45,30,30,30,40,40,30,35,10,30,25,5,25,0,30,15,30,20,15,0,0,5,5,5,0,4,Friday
20,2022-04-01 14:00:00,30,45,30,30,30,40,25,30,45,10,30,30,5,25,0,35,20,30,20,15,0,0,5,5,5,0,4,Friday
21,2022-04-01 14:15:00,40,45,30,25,30,40,35,20,45,10,30,30,5,25,0,40,20,30,20,20,0,0,5,5,5,0,4,Friday
22,2022-04-01 14:30:00,40,45,30,25,40,40,40,30,45,0,30,40,5,25,0,40,30,40,25,25,0,0,0,0,0,0,4,Friday
23,2022-04-01 14:45:00,40,45,25,25,30,40,50,30,45,0,35,40,5,25,0,40,30,40,35,35,0,0,0,0,0,0,4,Friday
24,2022-04-01 15:00:00,40,40,25,30,25,40,35,20,45,0,35,50,10,25,0,40,30,40,30,25,0,0,0,0,0,0,4,Friday
25,2022-04-01 15:15:00,45,35,30,30,25,40,40,20,35,0,35,45,15,25,0,40,30,40,30,20,10,15,0,0,0,0,4,Friday
26,2022-04-01 15:30:00,50,35,30,40,30,40,40,20,40,20,35,45,15,25,0,45,30,40,30,30,15,20,5,5,5,0,4,Friday
27,2022-04-01 15:45:00,50,35,30,40,30,40,45,30,45,25,35,15,15,30,0,45,30,40,30,30,20,25,5,5,5,0,4,Friday
28,2022-04-01 16:00:00,50,35,30,40,30,35,60,30,40,25,35,10,15,30,0,30,30,40,30,20,20,25,5,20,5,0,4,Friday
29,2022-04-01 16:15:00,50,35,30,35,25,35,50,35,30,30,25,30,15,30,0,40,25,40,30,20,20,25,5,20,5,0,4,Friday
30,2022-04-01 16:30:00,50,35,30,35,25,35,35,20,45,35,30,25,25,30,0,45,25,40,30,20,30,25,5,20,5,0,4,Friday
31,2022-04-01 16:45:00,50,35,30,40,25,35,45,20,40,35,35,30,25,30,0,40,25,40,25,20,25,30,15,15,10,0,4,Friday
32,2022-04-01 17:00:00,45,35,30,35,25,35,55,30,45,25,35,30,25,30,0,35,25,40,25,20,20,20,10,15,15,0,4,Friday
33,2022-04-01 17:15:00,45,35,30,35,30,30,60,20,35,25,35,20,10,25,0,45,25,35,30,20,20,20,10,10,15,0,4,Friday
